movement,V1-hi,V1-lo,V2-hi,V2-lo,VA-hi,VA-lo,VC-hi,VC-lo
076_4m4,B-6,G3,A-5,A3,E-5,C3,G-4,C2
076_5m1,F7,G#3,E6,G3,F#5,C3,F4,C2
076_5m2,F#6,B3,C#6,G3,D#5,B#2,G#4,B#1
076_5m3,E6,A3,B5,A3,B4,D3,E4,D2
076_5m4,E7,A3,D6,G#3,F#5,D3,G4,D2
076_6m1,G6,G3,B-5,G3,E-5,C3,G4,C2
076_6m2,E6,B-3,B5,G3,E5,C#3,F#4,E-2
076_6m3,A-6,G3,A-5,G3,E-5,E-3,A-4,C2
076_6m4,A-6,G3,B-5,G3,F5,D3,B-4,C2
077_1m1,G6,G3,D6,G3,E5,C3,G4,C2
077_1m2,B-6,G3,A-5,G3,E-5,C3,B-4,C2
077_1m3,D7,G3,D6,G3,G5,D3,A4,C2
077_1m4,C7,G3,D6,G3,G5,C#3,C5,C#2
077_2m1,G6,G3,D6,G3,A5,C3,A4,C2
077_2m2,F6,B3,F5,G3,F5,C3,F4,C2
077_2m3,G6,G#3,A5,G#3,F#5,C#3,B4,C#2
077_2m4,C7,G3,B-5,G3,D5,C3,G4,C2
103m2,G6,B-3,E-6,G3,G5,C3,G4,C2
103m3,A6,A3,B-5,G#3,B-4,E3,E4,C#2
